,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Player_name,Role,Total_runs,Strike_rate,Total_balls_faced,Total_wickets_taken,Total_runs_conceded,Total_overs_bowled,Total_matches_played,Matches_played_as_batter,Matches_played_as_bowler,Matches_won,Matches_lost,Player_of_match_awards,Team,Average
693,693,693,693,1462,Umran Malik,Batter,2,18.18181818,11,13,408,381,551,551,0,339,212,0,India,0.153846154
694,694,694,694,1464,Akhil Kumar,Batter,2,18.18181818,11,4,84,106,27,27,0,7,20,0,Canada,0.5
695,695,695,695,1465,Tareq Aziz,Batter,2,18.18181818,11,2,35,53,48,48,0,14,34,0,Bangladesh,1.0
696,696,696,696,1466,PA Desai,Batter,2,16.66666667,12,6,115,181,46,46,0,15,31,0,Canada,0.333333333
697,697,697,697,1468,RA Lewis,Batter,2,15.38461538,13,1,31,31,139,139,0,47,92,0,Ireland,2.0
698,698,698,698,1472,M Prasidh Krishna,Batter,2,11.11111111,18,30,756,819,572,572,0,355,217,1,India,0.066666667
699,699,699,699,1473,SC Meaker,Batter,2,11.11111111,18,2,113,117,292,292,0,173,119,0,England,1.0
700,700,700,700,1477,G Onions,Batter,1,50.0,2,4,189,215,496,496,0,284,212,0,England,0.25
701,701,701,701,1478,JW Wilson,Batter,1,50.0,2,1,68,54,291,291,0,149,142,0,New Zealand,1.0
702,702,702,702,1479,LE Milliken,Batter,1,33.33333333,3,1,37,49,329,329,0,170,159,0,New Zealand,1.0
703,703,703,703,1481,G Fontenla,Batter,1,33.33333333,3,3,65,102,59,59,0,33,26,0,Scotland,0.333333333
704,704,704,704,1483,Khaled Ahmed,Batter,1,25.0,4,3,72,80,327,327,0,127,200,0,Bangladesh,0.333333333
705,705,705,705,1485,LC Romero,Batter,1,14.28571429,7,1,52,26,58,58,0,27,31,0,United States of America,1.0
706,706,706,706,1486,EJB Miles,Batter,1,14.28571429,7,4,117,120,4,4,0,1,3,0,Jersey,0.25
707,707,707,707,1490,K Mahato,Batter,1,10.0,10,2,77,85,40,40,0,18,22,0,Nepal,0.5
708,708,708,708,1491,W Mwayenga,Batter,1,9.090909091,11,1,86,74,131,131,0,32,99,0,Zimbabwe,1.0
709,709,709,709,1493,AD Janakanthymala,Batter,1,6.666666667,15,2,47,67,340,340,0,160,180,0,Sri Lanka,0.5
710,710,710,710,1497,SD Udal,Batter,0,0.0,2,1,29,42,503,503,0,288,215,0,England,0.0
711,711,711,711,1502,V Buruka,Batter,0,0.0,8,3,106,143,56,56,0,10,46,0,Papua New Guinea,0.0
712,712,712,712,1503,Fariha Trisna,Batter,0,0.0,14,6,144,208,314,314,0,118,196,0,Bangladesh,0.0
713,713,713,713,1506,F Hand,Batter,0,0.0,1,1,45,49,143,143,0,50,93,0,Ireland,0.0
714,714,714,714,1507,JS Ababu,Batter,0,0.0,9,1,75,81,35,35,0,11,24,0,Kenya,0.0
715,715,715,715,1512,K Phillip,Batter,0,0.0,2,3,159,171,53,53,0,24,29,0,United States of America,0.0
716,716,716,716,1516,OC McCoy,Batter,0,0.0,1,4,110,87,260,260,0,102,158,0,West Indies,0.0
717,717,717,717,1520,Shahbaz Ahmed,Batter,0,0.0,4,3,129,156,285,285,0,162,123,0,India,0.0
718,718,718,718,1521,Raza Hasan,Batter,0,0.0,3,2,68,62,199,199,0,99,100,0,Pakistan,0.0
719,719,719,719,1531,Sufiyan Muqeem,Batter,0,0.0,1,4,53,49,68,68,0,38,30,0,Pakistan,0.0
720,720,720,720,1535,C Sakariya,Batter,0,0.0,1,2,34,51,75,75,0,41,34,0,India,0.0
